Date,Day,People Tested - Total,People Positive - Total,People Not-Positive - Total,People Tested - Age 0-17,People Tested - Age 18-29,People Tested - Age 30-39,People Tested - Age 40-49,People Tested - Age 50-59,People Tested - Age 60-69,People Tested - Age 70-79,People Tested - Age 80+,People Tested - Age Unknown,People Tested - Female,People Tested - Male,People Tested - Gender Unknown,People Tested - Latinx,People Tested - Asian Non-Latinx,People Tested - Black Non-Latinx,People Tested - White Non-Latinx,People Tested - Other Race Non-Latinx,People Tested - Unknown Race/Ethnicity,People Positive - Age 0-17,People Positive - Age 18-29,People Positive - Age 30-30,People Positive - Age 40-49,People Positive - Age 50-59,People Positive - Age 60-69,People Positive - Age 70-79,People Positive - Age 80+,People Positive - Age Unknown,People Positive - Female,People Positive - Male,People Positive - Gender Unknown,People Positive - Latinx,People Positive - Asian Non-Latinx,People Positive - Black Non-Latinx,People Positive - White Non-Latinx,People Positive - Other Race Non-Latinx,People Positive - Unknown Race/Ethnicity,People Not-Positive - Age 0-17,People Not-Positive - Age 18-29,People Not-Positive - Age 30-39,People Not-Positive - Age 40-49,People Not-Positive - Age 50-59,People Not-Positive - Age 60-69,People Not-Positive - Age 70-79,People Not-Positive - Age 80+,People Not-Positive - Age Unknown,People Not-Positive - Female,People Not-Positive - Male,People Not-Positive - Gender Unknown,People Not-Positive - Latinx,People Not-Positive - Asian Non-Latinx,People Not-Positive - Black Non-Latinx,People Not-Positive - White Non-Latinx,People Not-Positive - Other Race Non-Latinx,People Not-Positive - Unknown Race/Ethnicity
09/09/2020,Wednesday,4648,404,4244,468,1435,1058,591,468,372,166,88,2,2471,2104,73,834,122,664,973,175,1880,41,134,77,53,46,37,11,5,0,219,185,0,198,10,56,78,8,54,427,1301,981,538,422,335,155,83,2,2252,1919,73,636,112,608,895,167,1826
03/01/2020,Sunday,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
07/03/2020,Friday,2990,175,2815,186,731,620,393,391,335,207,122,5,1715,1237,38,304,68,477,586,108,1447,14,52,37,26,17,16,9,4,0,107,67,1,43,1,44,32,10,45,172,679,583,367,374,319,198,118,5,1608,1170,37,261,67,433,554,98,1402
04/16/2020,Thursday,2394,680,1714,82,389,454,417,435,339,165,113,0,1197,1120,77,374,52,493,353,84,1038,8,119,114,119,122,95,62,41,0,320,352,8,232,15,201,94,28,110,74,270,340,298,313,244,103,72,0,877,768,69,142,37,292,259,56,928
08/15/2020,Saturday,3157,224,2933,289,854,594,383,376,324,170,82,85,1669,1390,98,475,107,560,756,98,1161,18,64,41,29,35,22,11,2,2,104,116,4,76,7,51,60,6,24,271,790,553,354,341,302,159,80,83,1565,1274,94,399,100,509,696,92,1137
03/05/2020,Thursday,17,1,16,4,2,0,4,3,2,0,2,0,8,9,0,2,0,5,2,1,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,2,0,4,2,2,0,2,0,7,9,0,2,0,4,2,1,7
06/17/2020,Wednesday,4100,221,3879,219,985,809,520,601,511,280,163,12,2158,1830,112,563,80,651,792,126,1888,18,58,33,32,30,23,14,13,0,109,110,2,98,3,42,31,6,41,201,927,776,488,571,488,266,150,12,2049,1720,110,465,77,609,761,120,1847
05/28/2020,Thursday,4361,521,3840,254,849,791,672,668,636,301,182,8,2240,1931,190,757,67,693,566,122,2156,41,111,89,98,69,62,27,24,0,258,255,8,211,7,114,57,14,118,213,738,702,574,599,574,274,158,8,1982,1676,182,546,60,579,509,108,2038
09/06/2020,Sunday,1951,138,1813,229,499,425,241,208,180,110,58,1,1003,947,1,200,63,376,432,81,799,16,42,28,17,18,10,3,4,0,71,66,1,53,0,26,34,3,22,213,457,397,224,190,170,107,54,1,932,881,0,147,63,350,398,78,777
07/28/2020,Tuesday,5512,336,5176,522,1420,1169,729,651,555,311,153,2,2982,2397,133,1022,140,1042,1182,219,1907,38,86,76,68,33,19,9,7,0,187,145,4,154,10,74,45,10,43,484,1334,1093,661,618,536,302,146,2,2795,2252,129,868,130,968,1137,209,1864
